"before","after","correct_answer","verb_lemma","translation_ru","pronunciation_ru"
"Εγώ "," τα ζώα.","αγαπάω","αγαπάω","Я люблю животных.","эгО агапАо та зОа."
"Εσύ "," τη μουσική;","αγαπάς","αγαπάω","Ты любишь музыку?","эсИ агапАс ти музикИ;"
"Ο Γιάννης "," τη δουλειά του.","αγαπάει","αγαπάω","Янис любит свою работу.","о Янис агапАи ти дульЯ ту."
"Εμείς "," την Ελλάδα.","αγαπάμε","αγαπάω","Мы любим Грецию.","эмИс агапАмэ тин элАда."
"Εσείς "," τα παιδιά σας πολύ.","αγαπάτε","αγαπάω","Вы очень любите своих детей.","эсИс агапАтэ та пэдьЯ сас полИ."
"Οι γονείς μου "," τη θάλασσα.","αγαπάνε","αγαπάω","Мои родители любят море.","и гонИс му агапАнэ ти тАласа."
"Εγώ "," ελληνικά.","μιλάω","μιλάω","Я говорю по-гречески.","эгО милАо элиникА."
"Εσύ "," αγγλικά;","μιλάς","μιλάω","Ты говоришь по-английски?","эсИ милАс англикА;"
"Η Μαρία "," πολύ γρήγορα.","μιλάει","μιλάω","Мария говорит очень быстро.","и марИа милАи полИ грИгора."
"Εμείς "," στο τηλέφωνο.","μιλάμε","μιλάω","Мы разговариваем по телефону.","эмИс милАмэ сто тилЭфоно."
"Εσείς "," πολλές γλώσσες.","μιλάτε","μιλάω","Вы говорите на многих языках.","эсИс милАтэ полЭс глОсэс."
"Τα παιδιά "," δυνατά.","μιλάνε","μιλάω","Дети говорят громко.","та пэдьЯ милАнэ динатА."
"Εγώ "," πάντα πολλά.","ρωτάω","ρωτάω","Я всегда много спрашиваю.","эгО ротАо пАнда полА."
"Εσύ "," τον καθηγητή;","ρωτάς","ρωτάω","Ты спрашиваешь преподавателя?","эсИ ротАс тон катийитИ;"
"Ο Πέτρος "," για την ώρα.","ρωτάει","ρωτάω","Петрос спрашивает, который час.","о пЭтрос ротАи я тин Ора."
"Εμείς "," για τον δρόμο.","ρωτάμε","ρωτάω","Мы спрашиваем дорогу.","эмИс ротАмэ я тон дрОмо."
"Εσείς "," πολλές ερωτήσεις.","ρωτάτε","ρωτάω","Вы задаёте много вопросов.","эсИс ротАтэ полЭс эротИсис."
"Οι μαθητές "," συνέχεια.","ρωτάνε","ρωτάω","Ученики постоянно спрашивают.","и матитЭс ротАнэ синЭхья."
"Εγώ "," κάθε πρωί.","περπατάω","περπατάω","Я хожу пешком каждое утро.","эгО пэрпатАо кАтэ проИ."
"Εσύ "," πολύ γρήγορα.","περπατάς","περπατάω","Ты ходишь очень быстро.","эсИ пэрпатАс полИ грИгора."
"Ο σκύλος μου "," δίπλα μου.","περπατάει","περπατάω","Моя собака идёт рядом со мной.","о скИлос му пэрпатАи дИпла му."
"Εμείς "," στο πάρκο.","περπατάμε","περπατάω","Мы гуляем в парке.","эмИс пэрпатАмэ сто пАрко."
"Εσείς "," κάθε βράδυ;","περπατάτε","περπατάω","Вы гуляете каждый вечер?","эсИс пэрпатАтэ кАтэ врАди;"
"Τα παιδιά "," ξυπόλητα.","περπατάνε","περπατάω","Дети ходят босиком.","та пэдьЯ пэрпатАнэ ксипОлита."
