"prompt_ru","order","speaker","phrase_greek","translation_ru","pronunciation_ru"
"Встреча на улице","1","them","Γεια σου! Τι κάνεις;","Привет! Как дела?","я су! ти кАнис"
"Встреча на улице","2","you","Καλά, ευχαριστώ. Κι εσύ;","Хорошо, спасибо. А ты?","калА, эфхаристО. ки эсИ"
"Встреча на улице","3","them","Έτσι κι έτσι.","Так себе.","Эци ки Эци"
"Официальная встреча","1","them","Γεια σας! Τι κάνετε;","Здравствуйте! Как у вас дела?","я сас! ти кАнэтэ"
"Официальная встреча","2","you","Πολύ καλά, ευχαριστώ.","Очень хорошо, спасибо.","полИ калА, эфхаристО"
"Знакомство","1","them","Πώς σε λένε;","Как тебя зовут?","пос сэ лЭнэ"
"Знакомство","2","you","Με λένε... Χάρηκα!","Меня зовут... Приятно познакомиться!","мэ лЭнэ... хАрика!"
"Знакомство","3","them","Χάρηκα κι εγώ. Από πού είσαι;","Мне тоже приятно. Ты откуда?","хАрика ки эгО. апО пу Исэ"
"Спасибо","1","them","Ευχαριστώ πολύ!","Большое спасибо!","эфхаристО полИ!"
"Спасибо","2","you","Παρακαλώ!","Пожалуйста!","паракалО!"
"Извинение","1","them","Συγγνώμη, με συγχωρείτε.","Извините, прошу прощения.","сигнОми, мэ синхорИтэ"
"Извинение","2","you","Εντάξει, δεν πειράζει.","Хорошо, ничего страшного.","эндАкси, дэн пирАзи"
"Утренняя встреча","1","them","Καλημέρα!","Доброе утро!","калимЭра!"
"Утренняя встреча","2","you","Καλημέρα! Τι κάνεις;","Доброе утро! Как дела?","калимЭра! ти кАнис"
"Прощание","1","them","Αντίο! Τα λέμε!","Пока! Увидимся!","андИо! та лЭмэ!"
"Прощание","2","you","Καλό βράδυ!","Хорошего вечера!","калО врАди!"
"Спокойной ночи","1","them","Καληνύχτα!","Спокойной ночи!","калинИхта!"
"Спокойной ночи","2","you","Καληνύχτα, τα λέμε αύριο!","Спокойной ночи, увидимся завтра!","калинИхта, та лЭмэ Аврьо!"
"Пожелание удачи","1","them","Καλή επιτυχία!","Удачи!","калИ эпитихИа!"
"Пожелание удачи","2","you","Ευχαριστώ πολύ!","Большое спасибо!","эфхаристО полИ!"
"День рождения","1","them","Χρόνια πολλά!","С днём рождения!","хрОня полА!"
"День рождения","2","you","Ευχαριστώ!","Спасибо!","эфхаристО!"
