"forms","pronunciation","translation_ru","category"
"δόξα του θεού","дОкса ту тэУ","слава Богу","учить 1-4"
"ξεκουρασμένος","ксэкурасмЭнос","отдохнувший","учить 1-4"
"το σαββατοκύριακο","то саватокИрьако","выходные","учить 1-4"
"διαβάζω τα μαθήματα","дьавАзо та матИмата","учить уроки","учить 1-4"
"με ποιον","мэ пьон","с кем","учить 1-4"
"μαζί μου","мазИ му","вместе со мной","учить 1-4"
"κάθε μέρα","кАтэ мЭра","каждый день","учить 1-4"
"ξυπνάω νωρίς","ксипнАо норИс","просыпаться рано","учить 1-4"
"έχω δίκιο","Эхо дИкьо","быть правым","учить 1-4"
"πηγαίνω για ψώνια","пигЭно я псОнья","ходить за покупками","учить 1-4"
"καθαρίζω το σπίτι","катарИзо то спИти","прибирать дом","учить 1-4"
"βλέπω τηλεόραση","влЭпо тилэОраси","смотреть тв","учить 1-4"
"βγαίνω έξω","вьЭно Эксо","выходить в люди, в свет","учить 1-4"
